[2025-09-06 12:59:44,558] 15 root INFO - Initilize the data ingestion
[2025-09-06 12:59:50,893] 61 root INFO - Performed train test split on dataframe
[2025-09-06 12:59:50,899] 67 root INFO - Exporting train and test file path
[2025-09-06 12:59:51,057] 73 root INFO - Exported Training and Testing file path:
[2025-09-06 12:59:51,058] 17 root INFO - Data Ingestion Completed
[2025-09-06 12:59:51,068] 22 root INFO - Initiate the data validation
[2025-09-06 12:59:51,160] 34 root INFO - Required no. of columns: 31
[2025-09-06 12:59:51,160] 35 root INFO - Data frame has columns: 32
[2025-09-06 12:59:51,161] 34 root INFO - Required no. of columns: 31
[2025-09-06 12:59:51,162] 35 root INFO - Data frame has columns: 32
[2025-09-06 12:59:51,427] 24 root INFO - Data Validation Completed
[2025-09-06 12:59:51,428] 28 root INFO - Data Transformation Started
[2025-09-06 12:59:51,428] 47 root INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-06 12:59:51,428] 49 root INFO - Starting Data Transformation
[2025-09-06 12:59:51,494] 36 root INFO - Entered get_data_transformer_object method of Transformation class
[2025-09-06 12:59:51,495] 39 root INFO - Initializing KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-06 12:59:51,519] 46 root INFO - Entered the save_object method of  Mainutils class
[2025-09-06 12:59:51,524] 50 root INFO - Exited the save_object method of MainUtils class
[2025-09-06 12:59:51,526] 31 root INFO - Data Transformation Completed
[2025-09-06 12:59:51,528] 34 root INFO - Model Training started
[2025-09-06 12:59:59,400] 46 root INFO - Entered the save_object method of  Mainutils class
[2025-09-06 12:59:59,419] 50 root INFO - Exited the save_object method of MainUtils class
[2025-09-06 12:59:59,419] 102 root INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_06_2025_12_59_43\\model_trainer\\trained_model\\model.pkl', train_model_artifact=ClassificationMetricArtifact(f1_score=(0.9999489873998878,), precision_score=(0.9998979800040808,), recall_score=1.0), test_model_artifact=ClassificationMetricArtifact(f1_score=(0.9804703068951773,), precision_score=(0.9820359281437125,), recall_score=0.9789096697174692))
[2025-09-06 12:59:59,422] 39 root INFO - Model Training artifact Created
