iter	RMSE
0	3.739875779
1	3.594918639
2	3.4403264
3	3.317526426
4	3.205164537
5	3.110006819
6	3.025818278
7	2.954510806
8	2.888379155
9	2.832282033
10	2.781577349
11	2.734934624
12	2.691611369
13	2.654461868
14	2.621523519
15	2.587371517
16	2.561873026
17	2.536325417
18	2.513883679
19	2.494996267
20	2.47422015
21	2.459688988
22	2.441179747
23	2.42727098
24	2.411493589
25	2.399048215
26	2.388768181
27	2.376403814
28	2.366783215
29	2.357427405
30	2.347133562
31	2.33735006
32	2.330707913
33	2.323771811
34	2.316804287
35	2.309108245
36	2.303553852
37	2.296283981
38	2.291393072
39	2.285599025
40	2.280562754
41	2.275511534
42	2.270925802
43	2.266683216
44	2.261374258
45	2.256725126
46	2.252143639
47	2.248999903
48	2.244433832
49	2.240649588
50	2.237872354
51	2.233543456
52	2.229988797
53	2.227218102
54	2.224103822
55	2.219454635
56	2.216562103
57	2.211902797
58	2.209332741
59	2.205417777
60	2.202440734
61	2.200956068
62	2.199260157
63	2.195880951
64	2.193260804
65	2.19023859
66	2.18728691
67	2.18464494
68	2.184019432
69	2.17899125
70	2.177080606
71	2.175161053
72	2.172851493
73	2.17013472
74	2.167403108
75	2.165566628
76	2.164166962
77	2.162029955
78	2.155740203
79	2.153974204
80	2.152404801
81	2.151184212
82	2.15034357
83	2.148465732
84	2.146531453
85	2.144397413
86	2.143650669
87	2.142052098
88	2.141671861
89	2.140180924
90	2.139245938
91	2.137484736
92	2.135073715
93	2.133666254
94	2.131648898
95	2.129258183
96	2.129028012
97	2.127426913
98	2.125179993
99	2.124439902
