iter	Passed	Remaining
0	3	321
1	6	325
2	11	365
3	14	352
4	18	343
5	21	333
6	24	330
7	28	322
8	31	317
9	34	313
10	38	309
11	41	304
12	44	298
13	47	294
14	51	289
15	54	287
16	58	284
17	61	280
18	64	275
19	67	270
20	70	267
21	73	262
22	77	257
23	80	253
24	82	248
25	86	245
26	89	241
27	92	237
28	95	233
29	98	228
30	101	224
31	104	221
32	107	217
33	110	213
34	113	210
35	116	206
36	119	203
37	122	199
38	125	196
39	128	192
40	131	188
41	134	185
42	137	182
43	140	179
44	143	175
45	146	172
46	149	168
47	152	165
48	155	161
49	158	158
50	161	155
51	164	151
52	167	148
53	170	145
54	173	141
55	176	138
56	179	135
57	182	132
58	185	128
59	188	125
60	191	122
61	195	119
62	198	116
63	201	113
64	204	110
65	207	107
66	211	103
67	214	100
68	217	97
69	221	94
70	224	91
71	227	88
72	231	85
73	234	82
74	237	79
75	240	76
76	243	72
77	246	69
78	250	66
79	253	63
80	256	60
81	259	57
82	262	53
83	265	50
84	269	47
85	271	44
86	275	41
87	278	37
88	281	34
89	284	31
90	287	28
91	290	25
92	293	22
93	296	18
94	299	15
95	302	12
96	304	9
97	307	6
98	311	3
99	314	0
